GameID,RoundNum,Team1Bid,Team2Bid,Team1Tricks,Team2Tricks,Team1RoundPoints,Team2RoundPoints,Team1FinalScore,Team2FinalScore
1,1,7,-1458522674,4,9,-70,-241802169,-70,-241802169
2,1,4,-1541976382,5,8,41,-992885542,41,-992885542
3,1,1561799400,4,7,6,1561875184,42,1561875184,42
4,1,7,6,6,7,-70,61,-70,61
4,2,6,-1808896156,4,9,-60,899803789,-130,899803850
5,1,6,7,5,8,-60,71,-60,71
5,2,6,130925370,6,7,60,-1309253700,0,-1309253629
6,1,6,8,8,5,62,-80,62,-80
6,2,-1812485186,6,10,3,867502520,-60,867502582,-140
7,1,6,705074459,6,7,60,1539190002,60,1539190002
8,1,8,8,8,5,80,-80,80,-80
8,2,8,5,8,5,80,50,160,-30
8,3,5,-1889176587,5,8,50,177279909,210,177279879
9,1,7,-1516289770,5,8,-70,-761706034,-70,-761706034
10,1,5,8,5,8,50,80,50,80
10,2,8,6,7,6,-80,60,-30,140
10,3,7,6,7,6,70,60,40,200
10,4,5,-1400183532,4,9,-50,283250109,-10,283250309
