GameID,RoundNum,Team1Bid,Team2Bid,Team1Tricks,Team2Tricks,Team1RoundPoints,Team2RoundPoints,Team1Bags,Team2Bags,Team1FinalScore,Team2FinalScore
1,1,3,4,5,8,32,44,2,4,32,44
1,2,2,4,4,9,22,45,4,9,54,89
1,3,3,3,8,5,35,-68,9,1,89,21
1,4,3,3,4,9,-69,36,0,7,20,57
1,5,2,5,3,10,21,-45,1,2,41,12
1,6,4,2,5,8,41,26,2,8,82,38
1,7,4,3,7,6,43,-67,5,1,125,-29
1,8,4,2,9,4,-55,22,0,3,70,-7
1,9,4,4,6,7,42,43,2,6,112,36
1,10,5,2,8,5,53,23,5,9,165,59
1,11,3,3,7,6,34,-67,9,2,199,-8
1,12,5,2,9,4,-46,22,3,4,153,14
1,13,4,2,8,5,44,23,7,7,197,37
1,14,3,4,7,6,-66,42,1,9,131,79
1,15,2,4,4,9,22,-55,3,4,153,24
1,16,2,5,5,8,23,53,6,7,176,77
1,17,2,5,5,8,23,-47,9,0,199,30
1,18,2,4,3,10,-79,46,0,6,120,76
1,19,4,3,7,6,43,33,3,9,163,109
1,20,4,2,11,2,-53,20,0,9,110,129
1,21,5,2,7,6,52,-76,2,3,162,53
1,22,6,2,8,5,62,23,4,6,224,76
1,23,3,3,7,6,34,33,8,9,258,109
1,24,5,2,7,6,-48,-76,0,3,210,33
1,25,3,3,7,6,34,33,4,6,244,66
1,26,3,4,4,9,31,-55,5,1,275,11
1,27,4,3,5,8,41,35,6,6,316,46
1,28,3,3,7,6,-66,33,0,9,250,79
1,29,5,2,8,5,53,-77,3,2,303,2
1,30,3,3,5,8,32,35,5,7,335,37
1,31,4,2,8,5,44,-77,9,0,379,-40
1,32,4,2,7,6,-57,24,2,4,322,-16
1,33,4,3,8,5,44,32,6,6,366,16
1,34,3,4,5,8,32,-56,8,0,398,-40
1,35,2,6,3,10,21,64,9,4,419,24
1,36,2,4,5,8,-77,44,2,8,342,68
1,37,4,3,8,5,44,-68,6,0,386,0
1,38,4,3,8,5,-56,32,0,2,330,32
1,39,4,2,10,3,46,21,6,3,376,53
1,40,4,3,9,4,-55,31,1,4,321,84
1,41,4,2,8,5,44,23,5,7,365,107
1,42,3,3,6,7,33,-66,8,1,398,41
1,43,4,3,7,6,-57,33,1,4,341,74
1,44,3,3,8,5,35,32,6,6,376,106
1,45,3,4,5,8,32,-56,8,0,408,50
1,46,3,3,8,5,-65,32,3,2,343,82
1,47,2,5,3,10,21,55,4,7,364,137
1,48,2,5,4,9,22,-46,6,1,386,91
1,49,3,3,6,7,33,34,9,5,419,125
1,50,3,4,7,6,-66,42,3,7,353,167
1,51,4,3,7,6,43,-67,6,0,396,100
1,52,3,3,10,3,-63,30,3,0,333,130
1,53,3,4,6,7,33,43,6,3,366,173
1,54,5,2,8,5,53,23,9,6,419,196
1,55,4,3,5,8,-59,-65,0,1,360,131
1,56,4,4,6,7,42,43,2,4,402,174
1,57,4,3,8,5,44,32,6,6,446,206
1,58,2,4,3,10,21,-54,7,2,467,152
1,59,3,3,7,6,-66,33,1,5,401,185
1,60,5,2,10,3,55,21,6,6,456,206
1,61,4,3,6,7,42,-66,8,0,498,140
1,62,4,3,8,5,-56,32,2,2,442,172
1,63,3,4,6,7,33,43,5,5,475,215
1,64,3,4,5,8,32,44,7,9,507,259
2,1,2,4,4,9,22,45,2,5,22,45
2,2,2,5,4,9,22,54,4,9,44,99
2,3,2,5,5,8,23,-47,7,2,67,52
2,4,3,3,6,7,-67,34,0,6,0,86
2,5,2,4,4,9,22,-55,2,1,22,31
2,6,4,3,6,7,42,34,4,5,64,65
2,7,3,3,5,8,32,-65,6,0,96,0
2,8,2,4,4,9,22,45,8,5,118,45
2,9,3,3,6,7,-67,34,1,9,51,79
2,10,3,3,6,7,33,-66,4,3,84,13
2,11,4,4,7,6,43,42,7,5,127,55
2,12,5,2,10,3,-45,21,2,6,82,76
2,13,3,3,7,6,34,33,6,9,116,109
2,14,3,4,6,7,33,-57,9,2,149,52
2,15,2,4,7,6,-75,42,4,4,74,94
2,16,2,4,5,8,23,44,7,8,97,138
2,17,3,4,6,7,-67,-57,0,1,30,81
2,18,3,4,5,8,32,44,2,5,62,125
2,19,2,5,7,6,25,51,7,6,87,176
2,20,2,4,7,6,-75,42,2,8,12,218
2,21,4,3,6,7,42,-66,4,2,54,152
2,22,4,3,10,3,-54,30,0,2,0,182
2,23,2,4,5,8,23,44,3,6,23,226
2,24,2,4,5,8,23,-56,6,0,46,170
2,25,4,3,8,5,-56,32,0,2,-10,202
2,26,4,4,5,8,41,44,1,6,31,246
2,27,3,4,9,4,36,40,7,6,67,286
2,28,2,5,6,7,-76,52,1,8,-9,338
2,29,5,2,9,4,54,-78,5,0,45,260
2,30,3,3,7,6,34,33,9,3,79,293
2,31,2,5,5,8,-77,53,2,6,2,346
2,32,4,3,6,7,42,-66,4,0,44,280
2,33,2,4,4,9,22,45,6,5,66,325
2,34,2,4,3,10,21,-54,7,1,87,271
