team_points,team_bags,other_team_points,other_team_bags,game_win
0,0,0,0,0
0,0,0,0,1
36,6,40,6,0
40,0,36,6,1
-19,1,62,1,0
62,2,-19,1,1
13,3,97,3,0
97,7,13,3,1
55,5,31,5,0
31,1,55,5,1
0,0,53,0,0
53,3,0,0,1
55,5,74,5,0
74,4,55,5,1
86,6,119,6,0
119,9,86,6,1
128,8,53,8,0
53,3,128,8,1
72,2,76,2,0
76,6,72,2,1
113,3,11,3,0
11,1,113,3,1
149,9,42,9,0
42,2,149,9,1
93,3,65,3,0
65,5,93,3,1
115,5,10,5,0
10,0,115,5,1
146,6,55,6,0
55,5,146,6,1
91,1,86,1,0
86,6,91,1,1
126,6,118,6,0
118,8,126,6,1
60,0,51,0,0
51,1,60,0,1
115,5,72,5,0
72,2,115,5,1
148,8,106,8,0
106,6,148,8,1
80,0,50,0,0
50,0,80,0,1
111,1,95,1,0
95,5,111,1,1
152,2,30,2,0
30,0,152,2,1
187,7,62,7,0
62,2,187,7,1
140,0,85,0,0
85,5,140,0,1
177,7,115,7,0
115,5,177,7,1
110,0,158,0,0
158,8,110,0,1
155,5,189,5,0
189,9,155,5,1
177,7,143,7,0
143,3,177,7,1
121,1,175,1,0
175,5,121,1,1
164,4,208,4,0
208,8,164,4,1
195,5,144,5,0
144,4,195,5,1
216,6,199,6,0
199,9,216,6,1
237,7,154,7,0
154,4,237,7,1
193,3,174,3,0
174,4,193,3,1
225,5,209,5,0
209,9,225,5,1
258,8,143,8,0
143,3,258,8,1
201,1,176,1,0
176,6,201,1,1
254,4,199,4,0
199,9,254,4,1
288,8,141,8,0
141,1,288,8,1
210,0,195,0,0
195,5,210,0,1
255,5,226,5,0
226,6,255,5,1
299,9,249,9,0
249,9,299,9,1
241,1,183,1,0
183,3,241,1,1
273,3,236,3,0
236,6,273,3,1
308,8,268,8,0
268,8,308,8,1
240,0,203,0,0
203,3,240,0,1
273,3,237,3,0
237,7,273,3,1
316,6,170,6,0
170,0,316,6,1
251,1,211,1,0
211,1,251,1,1
282,2,247,2,0
247,7,282,2,1
338,8,267,8,0
267,7,338,8,1
262,2,210,2,0
210,0,262,2,1
306,6,242,6,0
242,2,306,6,1
348,8,267,8,0
267,7,348,8,1
293,3,289,3,0
289,9,293,3,1
336,6,222,6,0
222,2,336,6,1
280,0,254,0,0
254,4,280,0,1
313,3,288,3,0
288,8,313,3,1
270,0,268,0,0
268,8,270,0,1
294,4,211,4,0
211,1,294,4,1
335,5,246,5,0
246,6,335,5,1
281,1,276,1,0
276,6,281,1,1
325,5,317,5,0
317,7,325,5,1
280,0,338,0,0
338,8,280,0,1
312,2,273,2,0
273,3,312,2,1
